time [s],NN_interval [s/256](/api/datatype/318/)
5.55859375,195
6.3046875,191
7.05078125,191
7.78515625,188
8.51171875,186
9.25,189
9.984375,188
10.7109375,186
11.44140625,187
12.1796875,189
12.91015625,187
13.640625,187
14.3828125,190
15.1171875,188
15.859375,190
16.6015625,190
17.35546875,193
18.11328125,194
18.8671875,193
19.625,194
20.40234375,199
21.16796875,196
21.9375,197
22.69921875,195
23.46484375,196
24.2265625,195
24.99609375,197
25.76953125,198
26.515625,191
27.26171875,191
28.0234375,195
28.76171875,189
29.49609375,188
30.2265625,187
31.0078125,200
31.73046875,185
32.48046875,192
33.2265625,191
33.9609375,188
34.71484375,193
35.44140625,186
36.20703125,196
36.93359375,186
37.6875,193
38.4296875,190
39.15625,186
39.890625,188
40.6640625,198
41.39453125,187
42.1640625,197
42.91015625,191
43.67578125,196
44.44140625,196
45.203125,195
45.95703125,193
46.7265625,197
47.48046875,193
48.19921875,184
48.9609375,195
49.70703125,191
50.453125,191
51.1953125,190
51.9375,190
52.6953125,194
53.453125,194
54.19921875,191
54.97265625,198
55.73828125,196
56.4921875,193
57.24609375,193
57.98828125,190
58.71484375,186
59.4765625,195
60.21484375,189
60.953125,189
61.69140625,189
62.41796875,186
63.16015625,190
63.89453125,188
64.66796875,198
65.41015625,190
66.16015625,192
66.90234375,190
67.6171875,183
73.61328125,311
74.84765625,316
76.0625,311
77.30859375,319
78.53515625,314
79.76953125,316
81.01171875,318
82.2109375,307
83.40625,306
84.58984375,303
85.76953125,302
86.953125,303
88.1484375,306
89.33984375,305
90.51953125,302
91.734375,311
92.9296875,306
94.1171875,304
95.3125,306
96.51171875,307
97.69140625,302
101.453125,196
102.2109375,194
102.9765625,196
103.7421875,196
104.5,194
105.2734375,198
106.046875,198
106.8046875,194
107.54296875,189
108.28125,189
109.0078125,186
109.74609375,189
110.4765625,187
111.203125,186
111.94140625,189
112.69140625,192
113.47265625,200
114.2265625,193
115.00390625,199
115.7734375,197
116.53125,194
117.28125,192
118.03125,192
118.765625,188
119.4921875,186
120.2421875,192
120.97265625,187
121.71875,191
